Sa04_184_BF11_BR22,Sa04_184_BF11_BR20,Sa04_214_BR24_BF13,Sa05_5_BF11_BR11,Sa05_35_BR13_BF13,Sa05_65_BF2B_BR2B,Sa05_95_BR22_BF21,Sa05_125_BF2B_BR10,Sa05_155_BR13_BF21,Order,Family,Genus,Species
1,0,0,0,0,0,0,0,0,Odonata,Aeshnidae,Aeshna cyanea,Aeshna cyanea
2,0,0,53,58,466,612,1350,531,Trichoptera,Glossosomatidae,Agapetus ochripes,Agapetus ochripes
3,0,0,0,0,0,0,0,0,Plecoptera,Nemouridae,Amphinemura borealis,Amphinemura borealis
4,0,0,11655,6257,15,7,32,19,Pulmonata,Ancylidae,Ancylus fluviatilis,Ancylus fluviatilis
5,0,1,0,0,0,0,0,23,Trichoptera,Apataniidae,Apatania wallengreni,Apatania crymophila
6,0,0,0,0,0,0,0,0,Hemiptera,Aphelocheiridae,Aphelocheirus aestivalis,Aphelocheirus ellipsoideus
7,1,26,0,0,0,0,0,343,Trichoptera,Hydropsychidae,Arctopsyche ladogensis,Arctopsyche ladogensis
8,355509,410194,1677,4268,545,1003,948,3149,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
9,57,12,17,0,0,0,2,0,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
10,18,20,0,0,5,6,30,89,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
11,2,0,30,868,0,5,4,18,NA,NA,NA,Asellus aquaticus
12,1,0,0,0,0,0,0,0,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
13,9,3,0,0,1,6,0,0,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
14,755,852,0,0,2,1,0,0,Isopoda,Asellidae,Asellus aquaticus,Asellus aquaticus
15,6,0,2,0,22,15,19,0,Trichoptera,Leptoceridae,Athripsodes cinereus,Athripsodes cinereus
16,39,0,2,0,0,4,2,0,Trichoptera,Leptoceridae,Athripsodes cinereus,Athripsodes cinereus
17,0,0,0,0,0,0,0,9,Trichoptera,Leptoceridae,Athripsodes commutatus,Athripsodes commutatus
18,0,0,0,0,0,0,0,0,Trichoptera,Leptoceridae,Athripsodes commutatus,Athripsodes commutatus
19,2299,1967,25,0,540,132,48,240,Ephemeroptera,Baetidae,Nigrobaetis niger,Nigrobaetis niger
20,0,0,0,0,4,0,2,0,Ephemeroptera,Baetidae,Baetis bundyae,Baetis macani
21,0,0,0,0,0,0,0,0,Ephemeroptera,Baetidae,Baetis fuscatus,Baetis fuscatus
22,515,253,0,0,0,1,0,0,Ephemeroptera,Baetidae,Baetis sp. MZH_ES127,Baetis sp. MZH_JV15
23,0,0,0,0,0,0,0,0,NA,NA,NA,Baetis vernus
24,0,0,0,0,0,0,0,0,Ephemeroptera,Baetidae,Procloeon bifidum,Acentrella parvula
25,0,0,0,0,0,0,0,0,NA,NA,NA,Baetis vernus
26,1,0,0,0,0,0,0,0,Ephemeroptera,Baetidae,Cloeon dipterum,Cloeon dipterum
27,0,0,0,0,0,0,0,0,NA,NA,NA,Nigrobaetis niger
28,48,2,53204,85628,50117,61446,80346,107770,Ephemeroptera,Baetidae,Baetis rhodani,Baetis rhodani
29,2,1,3,1,418,22,0,3,Ephemeroptera,Baetidae,Baetis subalpinus,Baetis subalpinus
30,7,1,3,0,34,7,1,20,Ephemeroptera,Baetidae,Baetis vernus,Baetis vernus
31,6714,10699,0,0,5,86,0,0,Ephemeroptera,Baetidae,Baetis vernus,Baetis vernus
32,0,0,0,0,0,0,0,0,Ephemeroptera,Baetidae,Baetis vernus,Baetis vernus
33,0,0,0,0,347,0,0,0,Ephemeroptera,Baetidae,Baetis vernus,Baetis vernus
34,0,0,84091,84556,12981,21766,30684,26557,Littorinimorpha,Bithyniidae,Bithynia tentaculata,Bithynia tentaculata
35,1,0,1,0,0,0,0,0,Trichoptera,Brachycentridae,Brachycentrus subnubilus,Brachycentrus subnubilus
36,4,0,10,0,0,14,928,0,Ephemeroptera,Caenidae,Caenis horaria,Caenis horaria
37,1,0,0,0,0,0,9,0,Ephemeroptera,Caenidae,Caenis horaria,Caenis horaria
38,0,0,0,0,0,0,9,0,Ephemeroptera,Caenidae,Caenis luctuosa,Deleatidium sp. Dl_S75_05
39,7,0,0,0,0,0,1,1,Hemiptera,Corixidae,Callicorixa praeusta,Callicorixa audeni
40,0,0,0,0,0,0,1,0,Hemiptera,Corixidae,Callicorixa alaskensis,Callicorixa producta
41,1,0,0,0,0,0,0,0,NA,NA,NA,Callicorixa producta
42,0,0,0,0,0,0,0,0,Hemiptera,Corixidae,Callicorixa wollastoni,Callicorixa producta
43,1,0,0,0,0,0,0,0,NA,NA,NA,Callicorixa audeni
44,0,0,0,0,0,0,0,0,NA,NA,NA,Callicorixa producta
45,0,0,0,0,0,0,0,0,Hemiptera,Corixidae,Callicorixa praeusta,Callicorixa producta
46,6,0,0,0,0,0,1,1,Hemiptera,Corixidae,Callicorixa wollastoni,Callicorixa producta
47,7,10,1,0,4,29,3,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
48,0,0,0,0,0,0,0,0,NA,NA,NA,Calopteryx japonica
49,0,0,0,0,0,2,3,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
50,0,0,1,0,0,0,1,0,NA,NA,NA,Calopteryx japonica
51,0,0,0,0,0,0,0,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
52,0,0,0,0,0,0,3,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
53,0,0,2,0,0,7,38,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
54,0,0,0,0,0,0,0,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
55,0,0,0,0,0,2,5,0,Odonata,Calopterygidae,Calopteryx virgo,Calopteryx japonica
56,8,2,0,0,0,4,0,0,Ephemeroptera,Baetidae,Centroptilum luteolum,Centroptilum luteolum
57,0,0,0,0,0,15,22,0,Trichoptera,Leptoceridae,Ceraclea annulicornis,Ceraclea annulicornis
58,0,0,2,0,0,0,2,0,Trichoptera,Leptoceridae,Ceraclea excisa,Ceraclea excisa
59,0,0,0,0,0,0,0,0,Trichoptera,Leptoceridae,Ceraclea nigronervosa,Ceraclea nigronervosa
60,0,0,0,0,0,0,0,0,Trichoptera,Leptoceridae,Ceraclea dissimilis,Ceraclea dissimilis
61,0,0,0,0,0,0,0,0,NA,NA,NA,Ceraclea excisa
62,0,0,0,0,0,0,0,0,Diptera,Ceratopogonidae,Palpomyia flavipes,Forcipomyia sp. BOLD-2016
63,1,0,0,0,0,0,0,0,Diptera,Ceratopogonidae,Probezzia,Probezzia sp. 1ES
64,0,0,0,0,0,0,0,0,Diptera,Ceratopogonidae,Palpomyia flavipes,Ceratopogonidae sp. BOLD-2016
65,0,0,0,0,0,1,0,0,Diptera,Ceratopogonidae,Probezzia seminigra,Ceratopogonidae sp. BOLD:ACB1224
66,4,0,759,1879,1970,1012,157,1208,Trichoptera,Hydropsychidae,Cheumatopsyche lepida,Cheumatopsyche lepida
67,0,0,11,37,921,521,79,628,Trichoptera,Hydropsychidae,Cheumatopsyche lepida,Cheumatopsyche lepida
68,9544,8096,0,0,0,85,48,0,Diptera,Chironomidae,Conchapelopia melanops,Conchapelopia sp. BOLD:ACJ8833
69,4,0,0,0,0,0,0,0,Diptera,Chironomidae,Thienemanniella sp. 3TE,Orthocladiinae sp. BOLD-2016
70,0,0,7822,31227,4556,3904,7271,19408,Diptera,Chironomidae,Orthocladius rubicundus,Orthocladius sp. BOLD-2016
71,9921,12536,0,0,2,89,0,0,Diptera,Chironomidae,Arctopelopia barbitarsis,Diamesa arctica
72,0,0,35596,103264,19976,21513,72717,158769,Diptera,Chironomidae,NA,Orthocladiinae sp. BOLD:ABA6465
