TaxonomyID,TaxonomyName,TaxonomyRank,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
259020,environmental samples,no rank,1,0,1,0,1,0,1,0
1051626,Hymenobacter ginsengisoli,species,1,0,1,0,1,0,1,0
1259734,Compostimonas,genus,2,0,2,0,2,0,2,0
85024,unclassified Mycobacteriaceae,no rank,1,0,1,0,1,0,1,0
68892,Streptococcus infantis,species,5,0,5,0,5,0,5,00
644552,Streptomyces sp. JMCNT25,species,2,0,2,0,2,0,2,0
171951,environmental samples,no rank,1,0,1,0,1,0,1,0
2034,Curtobacterium,genus,6,2,6,2,6,2,6,2
349276,environmental samples,no rank,3,0,3,0,3,0,3,0
191214,environmental samples,no rank,3,0,3,0,3,0,3,0
430693,uncultured Sulfuricurvum sp.,species,1,0,1,0,1,0,1,0
929837,Anabaena bergii CHAB1000,no rank,55,0,55,0,55,0,55,0
592361,Pseudomonas peli,species,1,0,1,0,1,0,1,0
1129771,Leptotrichiaceae,family,66,23,66,23,66,23,66,23
171292,uncultured Mycobacterium sp.,species,110,0,110,0,110,0,110,0
32205,Leptonema,genus,2,0,2,0,2,0,2,0
340709,environmental samples,no rank,3,0,3,0,3,0,3,0
71,Simonsiella,genus,2,0,2,0,2,0,2,0
200667,Flammeovirgaceae,family,4,0,4,0,4,0,4,0
735519,Rhizobium halophytocola,species,1,0,1,0,1,0,1,0
869869,Pseudomonas sp. R212(2010),species,3,0,3,0,3,0,3,0
114705,environmental samples,no rank,8,0,8,0,8,0,8,0
82796,unclassified Micromonosporaceae,no rank,2,0,2,0,2,0,2,0
626077,uncultured Stigonematales cyanobacterium,species,3,0,3,0,3,0,3,0
1293498,Nitrospinia,class,1,0,1,0,1,0,1,0
1137097,Oscillatoria sp. N9DM,species,3,0,3,0,3,0,3,0
1186935,Pseudomonas sp. N4(2012),species,1,0,1,0,1,0,1,0
206389,Rhodocyclales,order,99,3,99,3,99,3,99,3
296824,environmental samples,no rank,6,0,6,0,6,0,6,0
58231,Treponema medium,species,2,0,2,0,2,0,2,0
31977,Veillonellaceae,family,475,17,475,17,475,17,475,17
253813,uncultured Phyllobacterium sp.,species,7,0,7,0,7,0,7,0
178338,Sedimentibacter hongkongensis,species,0,1,0,1,0,1,0,1
453573,Actinomadura bangladeshensis,species,1,0,1,0,1,0,1,0
886358,uncultured Iamiaceae bacterium,species,2,0,2,0,2,0,2,0
217144,uncultured Blastococcus sp.,species,2,0,2,0,2,0,2,0
868,Cardiobacteriaceae,family,1,0,1,0,1,0,1,0
775,Rickettsiaceae,family,1,0,1,0,1,0,1,0
128827,Erysipelotrichaceae,family,14,0,14,0,14,0,14,0
506,Alcaligenaceae,family,13,2,13,2,13,2,13,2
530577,Pseudomonas sp. gl13,species,2,0,2,0,2,0,2,0
2036,Curtobacterium citreum,species,1,0,1,0,1,0,1,0
1042322,Demequinaceae,family,1,0,1,0,1,0,1,0
942,Anaplasmataceae,family,1,0,1,0,1,0,1,0
326325,Deinococcus sp. iso 15,species,2,0,2,0,2,0,2,0
330265,Staphylococcus sp. Bt 38,species,1,0,1,0,1,0,1,0
543052,environmental samples,no rank,12,0,12,0,12,0,12,0
1122283,Maricurvus,genus,1,0,1,0,1,0,1,0
1179364,Pseudomonas sp. AMF3540,species,1,0,1,0,1,0,1,0
34016,Rhodobium,genus,2,0,2,0,2,0,2,0
41672,Isosphaera sp.,species,2,0,2,0,2,0,2,0
114710,uncultured Comamonas sp.,species,4,0,4,0,4,0,4,0
358309,Microbacterium sp. 62ND15,species,2,0,2,0,2,0,2,0
